Handle,Rank,Country
limanjun,grandmaster,Singapore
Farhod,grandmaster,Tajikistan
YuJiahe,grandmaster,China
IceKnight1093,grandmaster,India
SpinSpen,grandmaster,United States
expi0i,grandmaster,China
1G1U4E5S1T4,grandmaster,China
ahihi1234,grandmaster,Vietnam
Falashiro,grandmaster,China
hcywoi,grandmaster,China
Sorting,grandmaster,Bulgaria
_FJqwq,grandmaster,China
irkstepanov,grandmaster,Russia
zwezdinv,grandmaster,Russia
CountingGroup,grandmaster,China
ArSarapkin,grandmaster,Russia
Fantasy_Blue,grandmaster,China
JYJin,grandmaster,South Korea
fishcathu,grandmaster,China
DanielChang,grandmaster,United States
Inari,grandmaster,South Korea
Marckess,grandmaster,Mexico
hengliao,grandmaster,Taiwan
LOL_I_AM_SERZH,grandmaster,Russia
_ANIG,grandmaster,China
SunsetGlow95,grandmaster,China
jeff_qi,grandmaster,China
ToniB,grandmaster,Croatia
sigmoid114,grandmaster,China
installb,grandmaster,China
hirayuu_cf,grandmaster,Japan
wangmarui,grandmaster,China
wakaka,grandmaster,Singapore
caterpillow,grandmaster,Australia
Mark_Pr,grandmaster,Russia
seanlsy,grandmaster,China
Kriz_Wu,grandmaster,Vietnam
pooty,grandmaster,Singapore
DylanSmith,grandmaster,Singapore
aimoon,grandmaster,Kyrgyzstan
alphaGem,grandmaster,Netherlands
fyable,grandmaster,China
Az3ar,grandmaster,Jordan
Flandre,grandmaster,China
k1r1t0,grandmaster,Belarus
lethan3,grandmaster,United States
retarddestroyer,international master,Poland
natsugiri,international master,Japan
Noobish_Monk,international master,Germany
jerzyk,international master,Poland
qusol,international master,Germany
Rice_tawara459,international master,Japan
Retired_Isaunoya,international master,China
lumine_scence,international master,South Korea
amirhoseinfar1385,international master,Iran
tfg,international master,Brazil
rolandpetrean,international master,Romania
Denisov,international master,Ukraine
Michal_1,international master,Poland
libobil,international master,Bulgaria
16777216,international master,South Korea
ValenciaTravis,international master,China
sdyakonov,international master,Russia
